Y ,X1 ,X2 ,X3 ,
150 ,5 ,6 ,5 ,
75 ,5 ,5 ,3 ,
45 ,5 ,9 ,1 ,
180 ,10 ,9 ,2 ,
252 ,4 ,7 ,9 ,
240 ,6 ,4 ,10 ,
60 ,5 ,2 ,6 ,
162 ,3 ,6 ,9 ,
6 ,1 ,6 ,1 ,
168 ,8 ,7 ,3 ,
448 ,7 ,8 ,8 ,
84 ,2 ,6 ,7 ,
288 ,8 ,4 ,9 ,
72 ,3 ,8 ,3 ,
15 ,5 ,3 ,1 ,
360 ,8 ,5 ,9 ,
48 ,2 ,8 ,3 ,
98 ,2 ,7 ,7 ,
60 ,3 ,5 ,4 ,
16 ,8 ,1 ,2 ,
84 ,7 ,3 ,4 ,
120 ,8 ,5 ,3 ,
216 ,4 ,6 ,9 ,
14 ,7 ,2 ,1 ,
180 ,10 ,3 ,6 ,
300 ,5 ,10 ,6 ,
126 ,9 ,2 ,7 ,
60 ,3 ,5 ,4 ,
350 ,5 ,10 ,7 ,
8 ,4 ,2 ,1 ,
15 ,5 ,3 ,1 ,
500 ,10 ,5 ,10 ,
450 ,5 ,10 ,9 ,
90 ,2 ,9 ,5 ,
56 ,1 ,8 ,7 ,
36 ,2 ,6 ,3 ,
270 ,6 ,5 ,9 ,
150 ,5 ,6 ,5 ,
160 ,4 ,5 ,8 ,
108 ,2 ,9 ,6 ,
280 ,7 ,4 ,10 ,
12 ,1 ,4 ,3 ,
90 ,3 ,3 ,10 ,
280 ,8 ,7 ,5 ,
40 ,8 ,1 ,5 ,
90 ,9 ,1 ,10 ,
64 ,1 ,8 ,8 ,
300 ,5 ,10 ,6 ,
70 ,1 ,10 ,7 ,
14 ,2 ,1 ,7 ,
224 ,8 ,4 ,7 ,
432 ,9 ,6 ,8 ,
216 ,9 ,3 ,8 ,
150 ,10 ,3 ,5 ,
336 ,7 ,8 ,6 ,
108 ,6 ,9 ,2 ,
70 ,1 ,10 ,7 ,
150 ,5 ,10 ,3 ,
96 ,2 ,8 ,6 ,
224 ,4 ,7 ,8 ,
120 ,10 ,3 ,4 ,
210 ,7 ,6 ,5 ,
10 ,5 ,1 ,2 ,
256 ,8 ,8 ,4 ,
14 ,7 ,1 ,2 ,
192 ,8 ,8 ,3 ,
504 ,7 ,8 ,9 ,
42 ,3 ,7 ,2 ,
25 ,1 ,5 ,5 ,
27 ,3 ,9 ,1 ,
54 ,6 ,9 ,1 ,
216 ,4 ,9 ,6 ,
42 ,1 ,6 ,7 ,
60 ,4 ,3 ,5 ,
50 ,1 ,5 ,10 ,
80 ,2 ,4 ,10 ,
800 ,10 ,10 ,8 ,
150 ,5 ,6 ,5 ,
576 ,8 ,9 ,8 ,
36 ,4 ,3 ,3 ,
200 ,5 ,4 ,10 ,
18 ,1 ,2 ,9 ,
160 ,8 ,4 ,5 ,
84 ,3 ,4 ,7 ,
144 ,2 ,8 ,9 ,
100 ,10 ,5 ,2 ,
450 ,9 ,5 ,10 ,
112 ,4 ,7 ,4 ,
80 ,8 ,2 ,5 ,
135 ,5 ,9 ,3 ,
180 ,9 ,10 ,2 ,
120 ,3 ,5 ,8 ,
560 ,7 ,10 ,8 ,
84 ,7 ,2 ,6 ,
450 ,9 ,10 ,5 ,
150 ,10 ,3 ,5 ,
162 ,9 ,9 ,2 ,
80 ,8 ,5 ,2 ,
126 ,7 ,9 ,2 ,
168 ,8 ,3 ,7 ,
80 ,4 ,10 ,2 ,
42 ,7 ,2 ,3 ,
16 ,1 ,4 ,4 ,
30 ,1 ,3 ,10 ,
140 ,4 ,7 ,5 ,
96 ,4 ,6 ,4 ,
480 ,8 ,10 ,6 ,
40 ,10 ,1 ,4 ,
600 ,10 ,6 ,10 ,
360 ,5 ,9 ,8 ,
84 ,7 ,2 ,6 ,
70 ,7 ,1 ,10 ,
48 ,6 ,2 ,4 ,
72 ,2 ,6 ,6 ,
350 ,10 ,7 ,5 ,
360 ,9 ,5 ,8 ,
36 ,3 ,6 ,2 ,
24 ,1 ,4 ,6 ,
576 ,9 ,8 ,8 ,
90 ,5 ,3 ,6 ,
360 ,9 ,8 ,5 ,
30 ,1 ,3 ,10 ,
450 ,5 ,10 ,9 ,
64 ,8 ,4 ,2 ,
108 ,2 ,6 ,9 ,
60 ,6 ,2 ,5 ,
80 ,2 ,4 ,10 ,
576 ,8 ,8 ,9 ,
75 ,5 ,3 ,5 ,
27 ,1 ,3 ,9 ,
40 ,4 ,2 ,5 ,
56 ,7 ,1 ,8 ,
140 ,2 ,7 ,10 ,
180 ,4 ,5 ,9 ,
640 ,8 ,10 ,8 ,
18 ,6 ,3 ,1 ,
256 ,4 ,8 ,8 ,
160 ,8 ,2 ,10 ,
100 ,4 ,5 ,5 ,
252 ,7 ,4 ,9 ,
175 ,5 ,5 ,7 ,
160 ,10 ,4 ,4 ,
180 ,9 ,10 ,2 ,
8 ,1 ,8 ,1 ,
54 ,9 ,3 ,2 ,
48 ,2 ,4 ,6 ,
240 ,6 ,8 ,5 ,
160 ,8 ,5 ,4 ,
48 ,4 ,3 ,4 ,
18 ,1 ,9 ,2 ,
36 ,6 ,6 ,1 ,
175 ,7 ,5 ,5 ,
108 ,2 ,6 ,9 ,
112 ,7 ,4 ,4 ,
32 ,2 ,8 ,2 ,
360 ,6 ,6 ,10 ,
560 ,8 ,7 ,10 ,
140 ,5 ,4 ,7 ,
360 ,9 ,10 ,4 ,
100 ,5 ,4 ,5 ,
144 ,2 ,9 ,8 ,
100 ,2 ,10 ,5 ,
16 ,4 ,1 ,4 ,
120 ,2 ,10 ,6 ,
200 ,10 ,2 ,10 ,
100 ,4 ,5 ,5 ,
72 ,9 ,2 ,4 ,
320 ,5 ,8 ,8 ,
80 ,1 ,10 ,8 ,
16 ,4 ,2 ,2 ,
96 ,3 ,8 ,4 ,
36 ,1 ,9 ,4 ,
15 ,3 ,5 ,1 ,
240 ,8 ,5 ,6 ,
60 ,4 ,3 ,5 ,
30 ,1 ,5 ,6 ,
72 ,3 ,3 ,8 ,
252 ,7 ,6 ,6 ,
126 ,7 ,9 ,2 ,
20 ,4 ,5 ,1 ,
144 ,6 ,8 ,3 ,
60 ,10 ,1 ,6 ,
14 ,7 ,2 ,1 ,
162 ,9 ,9 ,2 ,
72 ,8 ,9 ,1 ,
144 ,8 ,6 ,3 ,
200 ,10 ,2 ,10 ,
96 ,4 ,6 ,4 ,
56 ,8 ,1 ,7 ,
54 ,2 ,3 ,9 ,
576 ,8 ,9 ,8 ,
72 ,9 ,1 ,8 ,
288 ,6 ,6 ,8 ,
14 ,2 ,7 ,1 ,
108 ,4 ,3 ,9 ,
112 ,4 ,7 ,4 ,
128 ,8 ,8 ,2 ,
336 ,8 ,7 ,6 ,
280 ,7 ,8 ,5 ,
27 ,9 ,1 ,3 ,
560 ,8 ,7 ,10 ,
180 ,5 ,9 ,4 ,
150 ,5 ,6 ,5 ,
36 ,9 ,4 ,1 ,
36 ,3 ,2 ,6 ,
16 ,4 ,2 ,2 ,
60 ,10 ,3 ,2 ,
90 ,3 ,6 ,5 ,
35 ,5 ,1 ,7 ,
24 ,6 ,1 ,4 ,
120 ,4 ,3 ,10 ,
40 ,10 ,2 ,2 ,
15 ,1 ,3 ,5 ,
140 ,10 ,2 ,7 ,
200 ,5 ,4 ,10 ,
128 ,8 ,8 ,2 ,
448 ,8 ,8 ,7 ,
448 ,8 ,8 ,7 ,
630 ,10 ,7 ,9 ,
300 ,10 ,6 ,5 ,
14 ,1 ,7 ,2 ,
80 ,2 ,8 ,5 ,
315 ,7 ,9 ,5 ,
36 ,1 ,6 ,6 ,
120 ,4 ,6 ,5 ,
18 ,3 ,2 ,3 ,
98 ,7 ,2 ,7 ,
216 ,6 ,9 ,4 ,
60 ,3 ,5 ,4 ,
648 ,9 ,8 ,9 ,
8 ,4 ,2 ,1 ,
144 ,2 ,8 ,9 ,
280 ,4 ,10 ,7 ,
60 ,3 ,5 ,4 ,
200 ,10 ,4 ,5 ,
56 ,2 ,7 ,4 ,
405 ,9 ,5 ,9 ,
12 ,1 ,3 ,4 ,
120 ,3 ,5 ,8 ,
168 ,8 ,3 ,7 ,
420 ,7 ,6 ,10 ,
20 ,1 ,10 ,2 ,
240 ,3 ,8 ,10 ,
84 ,2 ,6 ,7 ,
80 ,2 ,5 ,8 ,
100 ,2 ,5 ,10 ,
168 ,4 ,6 ,7 ,
126 ,7 ,2 ,9 ,
135 ,5 ,3 ,9 ,
21 ,3 ,7 ,1 ,
140 ,7 ,4 ,5 ,
240 ,10 ,3 ,8 ,
48 ,2 ,8 ,3 ,
162 ,2 ,9 ,9 ,
40 ,5 ,2 ,4 ,
80 ,2 ,5 ,8 ,
150 ,3 ,5 ,10 ,
6 ,1 ,1 ,6 ,
24 ,2 ,4 ,3 ,
9 ,3 ,1 ,3 ,
200 ,10 ,5 ,4 ,
270 ,9 ,10 ,3 ,
350 ,7 ,10 ,5 ,
90 ,5 ,2 ,9 ,
180 ,9 ,5 ,4 ,
64 ,8 ,2 ,4 ,
21 ,1 ,3 ,7 ,
18 ,1 ,2 ,9 ,
49 ,7 ,7 ,1 ,
18 ,1 ,2 ,9 ,
360 ,5 ,9 ,8 ,
8 ,2 ,2 ,2 ,
70 ,7 ,5 ,2 ,
40 ,2 ,4 ,5 ,
210 ,10 ,3 ,7 ,
30 ,10 ,3 ,1 ,
96 ,6 ,8 ,2 ,
126 ,2 ,9 ,7 ,
216 ,6 ,4 ,9 ,
24 ,8 ,1 ,3 ,
70 ,7 ,2 ,5 ,
240 ,8 ,3 ,10 ,
18 ,3 ,3 ,2 ,
36 ,3 ,6 ,2 ,
180 ,9 ,5 ,4 ,
720 ,9 ,10 ,8 ,
450 ,9 ,10 ,5 ,
160 ,2 ,10 ,8 ,
60 ,10 ,1 ,6 ,
196 ,7 ,7 ,4 ,
900 ,9 ,10 ,10 ,
126 ,9 ,7 ,2 ,
720 ,8 ,9 ,10 ,
36 ,2 ,2 ,9 ,
96 ,8 ,4 ,3 ,
25 ,5 ,1 ,5 ,
24 ,4 ,2 ,3 ,
24 ,3 ,4 ,2 ,
40 ,4 ,10 ,1 ,
729 ,9 ,9 ,9 ,
56 ,1 ,8 ,7 ,
100 ,10 ,1 ,10 ,
81 ,1 ,9 ,9 ,
405 ,9 ,5 ,9 ,
135 ,5 ,3 ,9 ,
216 ,9 ,3 ,8 ,
100 ,4 ,5 ,5 ,
180 ,4 ,9 ,5 ,
14 ,2 ,7 ,1 ,
72 ,1 ,8 ,9 ,
640 ,10 ,8 ,8 ,
90 ,6 ,3 ,5 ,
56 ,2 ,4 ,7 ,
576 ,8 ,8 ,9 ,
432 ,9 ,6 ,8 ,
224 ,8 ,7 ,4 ,
90 ,5 ,9 ,2 ,
9 ,3 ,1 ,3 ,
80 ,4 ,2 ,10 ,
63 ,7 ,9 ,1 ,
24 ,4 ,6 ,1 ,
280 ,7 ,4 ,10 ,
560 ,7 ,10 ,8 ,
180 ,2 ,9 ,10 ,
32 ,4 ,1 ,8 ,
48 ,1 ,6 ,8 ,
144 ,3 ,8 ,6 ,
81 ,1 ,9 ,9 ,
20 ,10 ,2 ,1 ,
48 ,2 ,6 ,4 ,
80 ,4 ,5 ,4 ,
600 ,10 ,6 ,10 ,
35 ,7 ,5 ,1 ,
270 ,5 ,6 ,9 ,
540 ,9 ,6 ,10 ,
360 ,10 ,4 ,9 ,
120 ,3 ,8 ,5 ,
252 ,7 ,4 ,9 ,
189 ,9 ,7 ,3 ,
12 ,3 ,4 ,1 ,
160 ,8 ,4 ,5 ,
700 ,7 ,10 ,10 ,
84 ,6 ,2 ,7 ,
18 ,1 ,3 ,6 ,
648 ,9 ,8 ,9 ,
96 ,4 ,3 ,8 ,
486 ,9 ,9 ,6 ,
30 ,10 ,3 ,1 ,
3 ,1 ,1 ,3 ,
80 ,4 ,4 ,5 ,
180 ,5 ,4 ,9 ,
4 ,1 ,4 ,1 ,
28 ,2 ,2 ,7 ,
162 ,6 ,9 ,3 ,
560 ,8 ,10 ,7 ,
135 ,3 ,5 ,9 ,
189 ,3 ,7 ,9 ,
252 ,6 ,7 ,6 ,
70 ,1 ,7 ,10 ,
576 ,8 ,9 ,8 ,
80 ,4 ,5 ,4 ,
210 ,7 ,6 ,5 ,
96 ,8 ,4 ,3 ,
21 ,3 ,7 ,1 ,
320 ,5 ,8 ,8 ,
288 ,4 ,9 ,8 ,
300 ,5 ,10 ,6 ,
30 ,6 ,5 ,1 ,
160 ,8 ,5 ,4 ,
90 ,3 ,10 ,3 ,
90 ,1 ,9 ,10 ,
240 ,6 ,4 ,10 ,
48 ,2 ,3 ,8 ,
90 ,9 ,5 ,2 ,
36 ,3 ,4 ,3 ,
16 ,1 ,8 ,2 ,
432 ,8 ,6 ,9 ,
90 ,1 ,9 ,10 ,
180 ,6 ,3 ,10 ,
4 ,2 ,1 ,2 ,
126 ,2 ,9 ,7 ,
315 ,9 ,5 ,7 ,
210 ,7 ,5 ,6 ,
56 ,4 ,7 ,2 ,
36 ,3 ,3 ,4 ,
126 ,9 ,2 ,7 ,
20 ,1 ,10 ,2 ,
441 ,7 ,7 ,9 ,
432 ,8 ,6 ,9 ,
192 ,8 ,8 ,3 ,
20 ,2 ,5 ,2 ,
24 ,6 ,4 ,1 ,
288 ,9 ,4 ,8 ,
56 ,7 ,4 ,2 ,
84 ,7 ,3 ,4 ,
225 ,5 ,9 ,5 ,
200 ,5 ,10 ,4 ,
300 ,10 ,6 ,5 ,
30 ,5 ,3 ,2 ,
60 ,3 ,4 ,5 ,
504 ,8 ,9 ,7 ,
24 ,6 ,2 ,2 ,
40 ,2 ,10 ,2 ,
210 ,6 ,5 ,7 ,
48 ,6 ,8 ,1 ,
60 ,6 ,10 ,1 ,
252 ,7 ,9 ,4 ,
12 ,2 ,1 ,6 ,
42 ,7 ,6 ,1 ,
192 ,6 ,4 ,8 ,
216 ,6 ,4 ,9 ,
60 ,1 ,10 ,6 ,
21 ,3 ,7 ,1 ,
504 ,7 ,9 ,8 ,
400 ,5 ,8 ,10 ,
90 ,3 ,10 ,3 ,
280 ,4 ,7 ,10 ,
10 ,1 ,2 ,5 ,
72 ,3 ,3 ,8 ,
24 ,4 ,2 ,3 ,
96 ,3 ,8 ,4 ,
32 ,8 ,4 ,1 ,
168 ,7 ,3 ,8 ,
210 ,5 ,7 ,6 ,
144 ,9 ,4 ,4 ,
336 ,8 ,7 ,6 ,
252 ,6 ,7 ,6 ,
150 ,6 ,5 ,5 ,
5 ,1 ,5 ,1 ,
18 ,1 ,6 ,3 ,
160 ,4 ,4 ,10 ,
504 ,8 ,7 ,9 ,
42 ,6 ,1 ,7 ,
54 ,6 ,9 ,1 ,
18 ,1 ,6 ,3 ,
360 ,6 ,6 ,10 ,
48 ,6 ,8 ,1 ,
486 ,9 ,6 ,9 ,
48 ,2 ,6 ,4 ,
294 ,6 ,7 ,7 ,
300 ,5 ,6 ,10 ,
80 ,5 ,8 ,2 ,
60 ,3 ,2 ,10 ,
720 ,9 ,8 ,10 ,
600 ,10 ,10 ,6 ,
27 ,1 ,3 ,9 ,
108 ,6 ,3 ,6 ,
108 ,4 ,3 ,9 ,
144 ,6 ,4 ,6 ,
60 ,3 ,4 ,5 ,
480 ,10 ,6 ,8 ,
90 ,1 ,9 ,10 ,
160 ,8 ,4 ,5 ,
243 ,9 ,9 ,3 ,
270 ,10 ,3 ,9 ,
216 ,9 ,6 ,4 ,
168 ,8 ,3 ,7 ,
6 ,2 ,3 ,1 ,
120 ,5 ,6 ,4 ,
9 ,3 ,1 ,3 ,
27 ,9 ,3 ,1 ,
196 ,4 ,7 ,7 ,
144 ,8 ,2 ,9 ,
42 ,6 ,7 ,1 ,
56 ,4 ,7 ,2 ,
180 ,3 ,6 ,10 ,
15 ,3 ,1 ,5 ,
8 ,1 ,4 ,2 ,
35 ,5 ,1 ,7 ,
40 ,5 ,8 ,1 ,
100 ,4 ,5 ,5 ,
360 ,5 ,9 ,8 ,
240 ,6 ,10 ,4 ,
12 ,2 ,3 ,2 ,
12 ,6 ,1 ,2 ,
200 ,8 ,5 ,5 ,
28 ,1 ,4 ,7 ,
20 ,10 ,2 ,1 ,
18 ,9 ,2 ,1 ,
24 ,1 ,3 ,8 ,
80 ,10 ,4 ,2 ,
160 ,4 ,10 ,4 ,
54 ,2 ,3 ,9 ,
60 ,5 ,2 ,6 ,
14 ,7 ,2 ,1 ,
15 ,3 ,1 ,5 ,
81 ,3 ,3 ,9 ,
640 ,8 ,8 ,10 ,
90 ,5 ,9 ,2 ,
300 ,5 ,6 ,10 ,
12 ,3 ,1 ,4 ,
63 ,7 ,9 ,1 ,
40 ,4 ,2 ,5 ,
120 ,8 ,5 ,3 ,
240 ,4 ,6 ,10 ,
486 ,9 ,6 ,9 ,
432 ,6 ,9 ,8 ,
504 ,7 ,9 ,8 ,
162 ,6 ,9 ,3 ,
540 ,6 ,10 ,9 ,
576 ,8 ,8 ,9 ,
270 ,3 ,9 ,10 ,
70 ,7 ,10 ,1 ,
64 ,2 ,4 ,8 ,
3 ,1 ,1 ,3 ,
28 ,2 ,2 ,7 ,
441 ,7 ,9 ,7 ,
630 ,7 ,9 ,10 ,
192 ,6 ,4 ,8 ,
12 ,2 ,1 ,6 ,
36 ,2 ,3 ,6 ,
240 ,8 ,10 ,3 ,
480 ,6 ,10 ,8 ,
300 ,10 ,10 ,3 ,
140 ,7 ,4 ,5 ,
32 ,8 ,2 ,2 ,
240 ,6 ,8 ,5 ,
280 ,7 ,8 ,5 ,
70 ,7 ,2 ,5 ,
180 ,6 ,3 ,10 ,
45 ,9 ,1 ,5 ,
441 ,7 ,7 ,9 ,
200 ,5 ,4 ,10 ,
315 ,5 ,9 ,7 ,
120 ,3 ,4 ,10 ,
84 ,6 ,7 ,2 ,
90 ,5 ,3 ,6 ,
567 ,9 ,9 ,7 ,
56 ,7 ,8 ,1 ,
48 ,4 ,4 ,3 ,
36 ,2 ,2 ,9 ,
28 ,7 ,2 ,2 ,
96 ,8 ,3 ,4 ,
810 ,9 ,10 ,9 ,
24 ,1 ,6 ,4 ,
60 ,6 ,2 ,5 ,
64 ,8 ,2 ,4 ,
150 ,5 ,3 ,10 ,
72 ,1 ,8 ,9 ,
36 ,1 ,4 ,9 ,
35 ,1 ,5 ,7 ,
315 ,7 ,5 ,9 ,
16 ,1 ,8 ,2 ,
128 ,4 ,8 ,4 ,
120 ,3 ,4 ,10 ,
80 ,2 ,10 ,4 ,
72 ,8 ,9 ,1 ,
16 ,2 ,2 ,4 ,
24 ,3 ,4 ,2 ,
16 ,1 ,2 ,8 ,
108 ,3 ,4 ,9 ,
24 ,2 ,2 ,6 ,
720 ,8 ,10 ,9 ,
324 ,6 ,6 ,9 ,
180 ,10 ,3 ,6 ,
42 ,6 ,7 ,1 ,
8 ,1 ,4 ,2 ,
72 ,2 ,6 ,6 ,
18 ,2 ,9 ,1 ,
18 ,9 ,1 ,2 ,
500 ,5 ,10 ,10 ,
144 ,6 ,3 ,8 ,
40 ,4 ,10 ,1 ,
270 ,6 ,9 ,5 ,
12 ,2 ,2 ,3 ,
200 ,10 ,2 ,10 ,
560 ,7 ,10 ,8 ,
96 ,8 ,2 ,6 ,
10 ,1 ,5 ,2 ,
42 ,2 ,3 ,7 ,
288 ,8 ,9 ,4 ,
336 ,8 ,7 ,6 ,
600 ,10 ,10 ,6 ,
36 ,6 ,6 ,1 ,
810 ,9 ,9 ,10 ,
90 ,6 ,5 ,3 ,
18 ,1 ,6 ,3 ,
54 ,6 ,9 ,1 ,
112 ,2 ,7 ,8 ,
42 ,1 ,6 ,7 ,
60 ,10 ,2 ,3 ,
24 ,6 ,2 ,2 ,
12 ,1 ,6 ,2 ,
100 ,10 ,2 ,5 ,
42 ,7 ,3 ,2 ,
5 ,1 ,5 ,1 ,
45 ,9 ,5 ,1 ,
324 ,9 ,6 ,6 ,
400 ,8 ,10 ,5 ,
225 ,5 ,5 ,9 ,
180 ,6 ,3 ,10 ,
160 ,8 ,4 ,5 ,
3 ,1 ,3 ,1 ,
216 ,4 ,6 ,9 ,
360 ,9 ,4 ,10 ,
540 ,9 ,10 ,6 ,
63 ,1 ,9 ,7 ,
112 ,4 ,7 ,4 ,
96 ,2 ,8 ,6 ,
252 ,7 ,4 ,9 ,
20 ,1 ,10 ,2 ,
280 ,7 ,10 ,4 ,
252 ,9 ,7 ,4 ,
4 ,4 ,1 ,1 ,
10 ,2 ,1 ,5 ,
210 ,7 ,5 ,6 ,
112 ,7 ,8 ,2 ,
40 ,5 ,1 ,8 ,
450 ,5 ,9 ,10 ,
16 ,1 ,4 ,4 ,
48 ,3 ,8 ,2 ,
84 ,3 ,7 ,4 ,
162 ,9 ,3 ,6 ,
40 ,5 ,4 ,2 ,
48 ,1 ,8 ,6 ,
24 ,8 ,1 ,3 ,
294 ,6 ,7 ,7 ,
50 ,5 ,10 ,1 ,
32 ,4 ,8 ,1 ,
64 ,2 ,4 ,8 ,
225 ,5 ,5 ,9 ,
36 ,9 ,2 ,2 ,
72 ,9 ,1 ,8 ,
90 ,9 ,5 ,2 ,
35 ,7 ,1 ,5 ,
160 ,8 ,2 ,10 ,
105 ,5 ,7 ,3 ,
144 ,4 ,9 ,4 ,
6 ,1 ,1 ,6 ,
90 ,5 ,6 ,3 ,
35 ,7 ,5 ,1 ,
25 ,1 ,5 ,5 ,
300 ,3 ,10 ,10 ,
30 ,1 ,3 ,10 ,
144 ,6 ,3 ,8 ,
420 ,7 ,6 ,10 ,
240 ,5 ,8 ,6 ,
48 ,6 ,1 ,8 ,
175 ,5 ,7 ,5 ,
360 ,9 ,5 ,8 ,
24 ,1 ,6 ,4 ,
280 ,8 ,7 ,5 ,
84 ,4 ,7 ,3 ,
70 ,2 ,7 ,5 ,
441 ,7 ,7 ,9 ,
162 ,3 ,6 ,9 ,
100 ,1 ,10 ,10 ,
98 ,7 ,2 ,7 ,
70 ,7 ,10 ,1 ,
192 ,6 ,4 ,8 ,
48 ,2 ,8 ,3 ,
504 ,9 ,8 ,7 ,
180 ,2 ,9 ,10 ,
15 ,5 ,3 ,1 ,
120 ,2 ,10 ,6 ,
180 ,5 ,6 ,6 ,
32 ,2 ,4 ,4 ,
147 ,7 ,7 ,3 ,
3 ,3 ,1 ,1 ,
504 ,9 ,8 ,7 ,
512 ,8 ,8 ,8 ,
72 ,2 ,6 ,6 ,
35 ,5 ,1 ,7 ,
2 ,1 ,2 ,1 ,
162 ,3 ,9 ,6 ,
6 ,1 ,3 ,2 ,
70 ,7 ,10 ,1 ,
180 ,6 ,3 ,10 ,
108 ,6 ,2 ,9 ,
144 ,4 ,6 ,6 ,
100 ,10 ,2 ,5 ,
84 ,7 ,2 ,6 ,
54 ,9 ,3 ,2 ,
10 ,1 ,5 ,2 ,
80 ,1 ,8 ,10 ,
81 ,3 ,9 ,3 ,
810 ,10 ,9 ,9 ,
4 ,2 ,2 ,1 ,
300 ,3 ,10 ,10 ,
420 ,10 ,7 ,6 ,
200 ,5 ,8 ,5 ,
35 ,7 ,1 ,5 ,
140 ,7 ,10 ,2 ,
480 ,6 ,10 ,8 ,
18 ,1 ,9 ,2 ,
96 ,4 ,8 ,3 ,
120 ,6 ,2 ,10 ,
252 ,7 ,9 ,4 ,
24 ,6 ,1 ,4 ,
392 ,8 ,7 ,7 ,
640 ,8 ,10 ,8 ,
45 ,5 ,3 ,3 ,
560 ,8 ,10 ,7 ,
60 ,5 ,6 ,2 ,
243 ,9 ,9 ,3 ,
441 ,9 ,7 ,7 ,
50 ,5 ,2 ,5 ,
300 ,3 ,10 ,10 ,
80 ,4 ,10 ,2 ,
252 ,4 ,9 ,7 ,
288 ,9 ,8 ,4 ,
320 ,8 ,8 ,5 ,
27 ,9 ,1 ,3 ,
72 ,6 ,4 ,3 ,
20 ,1 ,2 ,10 ,
144 ,2 ,9 ,8 ,
16 ,1 ,4 ,4 ,
80 ,2 ,5 ,8 ,
96 ,4 ,4 ,6 ,
162 ,3 ,6 ,9 ,
252 ,9 ,4 ,7 ,
240 ,4 ,6 ,10 ,
7 ,7 ,1 ,1 ,
84 ,2 ,7 ,6 ,
80 ,8 ,5 ,2 ,
10 ,1 ,5 ,2 ,
140 ,5 ,7 ,4 ,
8 ,1 ,4 ,2 ,
30 ,3 ,10 ,1 ,
36 ,4 ,3 ,3 ,
384 ,8 ,6 ,8 ,
112 ,2 ,7 ,8 ,
84 ,6 ,2 ,7 ,
225 ,5 ,9 ,5 ,
144 ,8 ,2 ,9 ,
200 ,10 ,10 ,2 ,
16 ,4 ,2 ,2 ,
36 ,6 ,2 ,3 ,
36 ,1 ,4 ,9 ,
240 ,5 ,6 ,8 ,
28 ,7 ,2 ,2 ,
24 ,1 ,4 ,6 ,
384 ,6 ,8 ,8 ,
72 ,8 ,9 ,1 ,
84 ,7 ,6 ,2 ,
56 ,7 ,8 ,1 ,
168 ,8 ,7 ,3 ,
21 ,1 ,3 ,7 ,
600 ,10 ,10 ,6 ,
108 ,6 ,3 ,6 ,
98 ,7 ,2 ,7 ,
36 ,9 ,2 ,2 ,
84 ,6 ,7 ,2 ,
49 ,1 ,7 ,7 ,
560 ,7 ,10 ,8 ,
240 ,5 ,8 ,6 ,
245 ,7 ,7 ,5 ,
162 ,3 ,6 ,9 ,
700 ,10 ,10 ,7 ,
343 ,7 ,7 ,7 ,
243 ,9 ,3 ,9 ,
18 ,3 ,2 ,3 ,
20 ,2 ,1 ,10 ,
48 ,6 ,8 ,1 ,
54 ,3 ,2 ,9 ,
8 ,2 ,1 ,4 ,
24 ,2 ,3 ,4 ,
